Algoritmo,Tamanho,Modo,Threads,TempoMS
BubbleSort,1000,Serial,1,5
BubbleSort,1000,Serial,1,1
BubbleSort,1000,Serial,1,0
BubbleSort,1000,Serial,1,0
BubbleSort,1000,Serial,1,0
BubbleSort,1000,Paralelo,2,10
BubbleSort,1000,Paralelo,2,1
BubbleSort,1000,Paralelo,2,2
BubbleSort,1000,Paralelo,2,0
BubbleSort,1000,Paralelo,2,0
BubbleSort,1000,Paralelo,4,0
BubbleSort,1000,Paralelo,4,0
BubbleSort,1000,Paralelo,4,0
BubbleSort,1000,Paralelo,4,0
BubbleSort,1000,Paralelo,4,0
BubbleSort,1000,Paralelo,8,0
BubbleSort,1000,Paralelo,8,0
BubbleSort,1000,Paralelo,8,0
BubbleSort,1000,Paralelo,8,0
BubbleSort,1000,Paralelo,8,10
BubbleSort,5000,Serial,1,22
BubbleSort,5000,Serial,1,22
BubbleSort,5000,Serial,1,23
BubbleSort,5000,Serial,1,19
BubbleSort,5000,Serial,1,14
BubbleSort,5000,Paralelo,2,19
BubbleSort,5000,Paralelo,2,15
BubbleSort,5000,Paralelo,2,16
BubbleSort,5000,Paralelo,2,0
BubbleSort,5000,Paralelo,2,17
BubbleSort,5000,Paralelo,4,19
BubbleSort,5000,Paralelo,4,14
BubbleSort,5000,Paralelo,4,0
BubbleSort,5000,Paralelo,4,17
BubbleSort,5000,Paralelo,4,19
BubbleSort,5000,Paralelo,8,17
BubbleSort,5000,Paralelo,8,13
BubbleSort,5000,Paralelo,8,12
BubbleSort,5000,Paralelo,8,13
BubbleSort,5000,Paralelo,8,9
BubbleSort,10000,Serial,1,110
BubbleSort,10000,Serial,1,105
BubbleSort,10000,Serial,1,110
BubbleSort,10000,Serial,1,107
BubbleSort,10000,Serial,1,102
BubbleSort,10000,Paralelo,2,67
BubbleSort,10000,Paralelo,2,50
BubbleSort,10000,Paralelo,2,50
BubbleSort,10000,Paralelo,2,50
BubbleSort,10000,Paralelo,2,66
BubbleSort,10000,Paralelo,4,54
BubbleSort,10000,Paralelo,4,46
BubbleSort,10000,Paralelo,4,61
BubbleSort,10000,Paralelo,4,47
BubbleSort,10000,Paralelo,4,48
BubbleSort,10000,Paralelo,8,63
BubbleSort,10000,Paralelo,8,48
BubbleSort,10000,Paralelo,8,63
BubbleSort,10000,Paralelo,8,51
BubbleSort,10000,Paralelo,8,51
SelectionSort,1000,Serial,1,7
SelectionSort,1000,Serial,1,2
SelectionSort,1000,Serial,1,0
SelectionSort,1000,Serial,1,0
SelectionSort,1000,Serial,1,0
SelectionSort,1000,Paralelo,2,5
SelectionSort,1000,Paralelo,2,1
SelectionSort,1000,Paralelo,2,0
SelectionSort,1000,Paralelo,2,0
SelectionSort,1000,Paralelo,2,0
SelectionSort,1000,Paralelo,4,0
SelectionSort,1000,Paralelo,4,0
SelectionSort,1000,Paralelo,4,0
SelectionSort,1000,Paralelo,4,0
SelectionSort,1000,Paralelo,4,0
SelectionSort,1000,Paralelo,8,0
SelectionSort,1000,Paralelo,8,0
SelectionSort,1000,Paralelo,8,0
SelectionSort,1000,Paralelo,8,0
SelectionSort,1000,Paralelo,8,0
SelectionSort,5000,Serial,1,17
SelectionSort,5000,Serial,1,6
SelectionSort,5000,Serial,1,14
SelectionSort,5000,Serial,1,0
SelectionSort,5000,Serial,1,18
SelectionSort,5000,Paralelo,2,15
SelectionSort,5000,Paralelo,2,0
SelectionSort,5000,Paralelo,2,16
SelectionSort,5000,Paralelo,2,16
SelectionSort,5000,Paralelo,2,2
SelectionSort,5000,Paralelo,4,22
SelectionSort,5000,Paralelo,4,11
SelectionSort,5000,Paralelo,4,11
SelectionSort,5000,Paralelo,4,10
SelectionSort,5000,Paralelo,4,10
SelectionSort,5000,Paralelo,8,0
SelectionSort,5000,Paralelo,8,16
SelectionSort,5000,Paralelo,8,0
SelectionSort,5000,Paralelo,8,15
SelectionSort,5000,Paralelo,8,16
SelectionSort,10000,Serial,1,31
SelectionSort,10000,Serial,1,47
SelectionSort,10000,Serial,1,31
SelectionSort,10000,Serial,1,47
SelectionSort,10000,Serial,1,47
SelectionSort,10000,Paralelo,2,31
SelectionSort,10000,Paralelo,2,47
SelectionSort,10000,Paralelo,2,39
SelectionSort,10000,Paralelo,2,43
SelectionSort,10000,Paralelo,2,42
SelectionSort,10000,Paralelo,4,34
SelectionSort,10000,Paralelo,4,35
SelectionSort,10000,Paralelo,4,32
SelectionSort,10000,Paralelo,4,51
SelectionSort,10000,Paralelo,4,48
SelectionSort,10000,Paralelo,8,36
SelectionSort,10000,Paralelo,8,34
SelectionSort,10000,Paralelo,8,49
SelectionSort,10000,Paralelo,8,33
SelectionSort,10000,Paralelo,8,51
MergeSort,1000,Serial,1,0
MergeSort,1000,Serial,1,0
MergeSort,1000,Serial,1,0
MergeSort,1000,Serial,1,0
MergeSort,1000,Serial,1,0
MergeSort,1000,Paralelo,2,4
MergeSort,1000,Paralelo,2,0
MergeSort,1000,Paralelo,2,0
MergeSort,1000,Paralelo,2,4
MergeSort,1000,Paralelo,2,0
MergeSort,1000,Paralelo,4,0
MergeSort,1000,Paralelo,4,0
MergeSort,1000,Paralelo,4,5
MergeSort,1000,Paralelo,4,0
MergeSort,1000,Paralelo,4,3
MergeSort,1000,Paralelo,8,2
MergeSort,1000,Paralelo,8,2
MergeSort,1000,Paralelo,8,3
MergeSort,1000,Paralelo,8,2
MergeSort,1000,Paralelo,8,2
MergeSort,5000,Serial,1,1
MergeSort,5000,Serial,1,0
MergeSort,5000,Serial,1,1
MergeSort,5000,Serial,1,2
MergeSort,5000,Serial,1,1
MergeSort,5000,Paralelo,2,2
MergeSort,5000,Paralelo,2,3
MergeSort,5000,Paralelo,2,3
MergeSort,5000,Paralelo,2,2
MergeSort,5000,Paralelo,2,4
MergeSort,5000,Paralelo,4,3
MergeSort,5000,Paralelo,4,3
MergeSort,5000,Paralelo,4,1
MergeSort,5000,Paralelo,4,2
MergeSort,5000,Paralelo,4,3
MergeSort,5000,Paralelo,8,3
MergeSort,5000,Paralelo,8,2
MergeSort,5000,Paralelo,8,4
MergeSort,5000,Paralelo,8,2
MergeSort,5000,Paralelo,8,2
MergeSort,10000,Serial,1,3
MergeSort,10000,Serial,1,0
MergeSort,10000,Serial,1,0
MergeSort,10000,Serial,1,5
MergeSort,10000,Serial,1,2
MergeSort,10000,Paralelo,2,2
MergeSort,10000,Paralelo,2,5
MergeSort,10000,Paralelo,2,7
MergeSort,10000,Paralelo,2,1
MergeSort,10000,Paralelo,2,0
MergeSort,10000,Paralelo,4,9
MergeSort,10000,Paralelo,4,6
MergeSort,10000,Paralelo,4,4
MergeSort,10000,Paralelo,4,2
MergeSort,10000,Paralelo,4,4
MergeSort,10000,Paralelo,8,5
MergeSort,10000,Paralelo,8,9
MergeSort,10000,Paralelo,8,2
